"ID","Date","Time","Status","Home Team","H HT Score","H Score","A Score","A HT Score","Away Team","Attendance"
"143774","9/8/2019","19:45:00","FT","Monaco","0","0","3","2","Lyon",""
"139963","10/8/2019","19:00:00","FT","Angers","3","3","1","1","Bordeaux","10749"
"139964","10/8/2019","19:00:00","FT","Brest","1","1","1","0","Toulouse","14238"
"139965","10/8/2019","19:00:00","FT","Dijon","1","1","2","2","Saint Étienne",""
"139967","10/8/2019","16:30:00","FT","Marseille","0","0","2","0","Reims","52887"
"139969","10/8/2019","19:00:00","FT","Montpellier","0","0","1","1","Rennes","15212"
"139970","10/8/2019","19:00:00","FT","Nice","1","2","1","0","Amiens",""
"143775","11/8/2019","14:00:00","FT","Lille","1","2","1","0","Nantes","34494"
"143777","11/8/2019","20:00:00","FT","Paris St Germain","1","3","0","0","Nîmes","47151"
"143776","11/8/2019","16:00:00","FT","Strasbourg","1","1","1","0","Metz","25476"
"150903","16/8/2019","19:45:00","FT","Lyon","3","6","0","0","Angers","49871"
"139973","17/8/2019","19:00:00","FT","Amiens","0","1","0","0","Lille","12481"
"139974","17/8/2019","19:00:00","FT","Bordeaux","0","1","1","1","Montpellier","30192"
"139976","17/8/2019","19:00:00","FT","Metz","1","3","0","0","Monaco","19088"
"139977","17/8/2019","16:30:00","FT","Nantes","0","0","0","0","Marseille","34832"
"139978","17/8/2019","19:00:00","FT","Nîmes","1","1","2","2","Nice","13243"
"139982","17/8/2019","19:00:00","FT","Toulouse","0","1","0","0","Dijon","10583"
"150905","18/8/2019","16:00:00","FT","Reims","0","0","0","0","Strasbourg","13714"
"150906","18/8/2019","20:00:00","FT","Rennes","1","2","1","1","Paris St Germain","28596"
"150904","18/8/2019","14:00:00","FT","Saint Étienne","0","1","1","1","Brest","28645"
"139983","24/8/2019","19:00:00","FT","Amiens","0","1","2","0","Nantes","11393"
"139984","24/8/2019","19:00:00","FT","Angers","2","3","0","0","Metz","9001"
"139985","24/8/2019","19:00:00","FT","Brest","0","1","0","0","Reims","13958"
